id,name,slug,games_count,image_background,games
1612,Valve Software,valve-software,44,https://media.rawg.io/media/games/46d/46d98e6910fbc0706e2948a7cc9b10c5.jpg,"[{'id': 4200, 'slug': 'portal-2', 'name': 'Portal 2', 'added': 20862}, {'id': 4291, 'slug': 'counter-strike-global-offensive', 'name': 'Counter-Strike: Global Offensive', 'added': 18350}, {'id': 13536, 'slug': 'portal', 'name': 'Portal', 'added': 17782}, {'id': 12020, 'slug': 'left-4-dead-2', 'name': 'Left 4 Dead 2', 'added': 17497}, {'id': 13537, 'slug': 'half-life-2', 'name': 'Half-Life 2', 'added': 16088}, {'id': 11859, 'slug': 'team-fortress-2', 'name': 'Team Fortress 2', 'added': 14043}]"
405,Ubisoft,ubisoft,349,https://media.rawg.io/media/games/15c/15c95a4915f88a3e89c821526afe05fc.jpg,"[{'id': 4161, 'slug': 'far-cry-3', 'name': 'Far Cry 3', 'added': 10810}, {'id': 3841, 'slug': 'assassins-creed-iv-black-flag', 'name': 'Assassin’s Creed IV: Black Flag', 'added': 9776}, {'id': 362, 'slug': 'for-honor', 'name': 'For Honor', 'added': 9677}, {'id': 23585, 'slug': 'far-cry-5', 'name': 'Far Cry 5', 'added': 8483}, {'id': 3687, 'slug': 'watch-dogs', 'name': 'Watch Dogs', 'added': 8419}, {'id': 9830, 'slug': 'brawlhalla', 'name': 'Brawlhalla', 'added': 8283}]"
18893,Feral Interactive,feral-interactive,107,https://media.rawg.io/media/screenshots/a8c/a8cd58ee985ab6d509370bddada91dbd.jpeg,"[{'id': 7689, 'slug': 'rise-of-the-tomb-raider', 'name': 'Rise of the Tomb Raider', 'added': 12399}, {'id': 11973, 'slug': 'shadow-of-mordor', 'name': 'Middle-earth: Shadow of Mordor', 'added': 11768}, {'id': 4427, 'slug': 'bioshock-2', 'name': 'BioShock 2', 'added': 11553}, {'id': 10754, 'slug': 'bioshock-remastered', 'name': 'BioShock Remastered', 'added': 10915}, {'id': 10035, 'slug': 'hitman', 'name': 'Hitman', 'added': 10879}, {'id': 10243, 'slug': 'company-of-heroes-2', 'name': 'Company of Heroes 2', 'added': 9877}]"
3709,Ubisoft Montreal,ubisoft-montreal,122,https://media.rawg.io/media/games/459/459ac8745027643ed7338516c0025cf7.jpg,"[{'id': 4161, 'slug': 'far-cry-3', 'name': 'Far Cry 3', 'added': 10810}, {'id': 3841, 'slug': 'assassins-creed-iv-black-flag', 'name': 'Assassin’s Creed IV: Black Flag', 'added': 9776}, {'id': 362, 'slug': 'for-honor', 'name': 'For Honor', 'added': 9677}, {'id': 23585, 'slug': 'far-cry-5', 'name': 'Far Cry 5', 'added': 8483}, {'id': 3687, 'slug': 'watch-dogs', 'name': 'Watch Dogs', 'added': 8419}, {'id': 58616, 'slug': 'assassins-creed-odyssey', 'name': ""Assassin's Creed Odyssey"", 'added': 8229}]"
4132,Square Enix,square-enix,374,https://media.rawg.io/media/games/54a/54a3e4c617217848dc43c4de9989fe37.jpg,"[{'id': 10035, 'slug': 'hitman', 'name': 'Hitman', 'added': 10879}, {'id': 3017, 'slug': 'just-cause-3', 'name': 'Just Cause 3', 'added': 9379}, {'id': 4513, 'slug': 'just-cause-2', 'name': 'Just Cause 2', 'added': 8935}, {'id': 3766, 'slug': 'thief', 'name': 'Thief', 'added': 7354}, {'id': 3474, 'slug': 'lara-croft-and-the-temple-of-osiris', 'name': 'Lara Croft and the Temple of Osiris', 'added': 7184}, {'id': 19569, 'slug': 'hitman-blood-money', 'name': 'Hitman: Blood Money', 'added': 5860}]"
3678,Capcom,capcom,476,https://media.rawg.io/media/screenshots/119/1190d9632988dbe1c6d3001ee51c4c74.jpg,"[{'id': 46889, 'slug': 'monster-hunter-world-2', 'name': 'Monster Hunter: World', 'added': 8831}, {'id': 480, 'slug': 'resident-evil-7-biohazard', 'name': 'Resident Evil 7: Biohazard', 'added': 8760}, {'id': 13461, 'slug': 'resident-evil-5-biohazard-5', 'name': 'Resident Evil 5', 'added': 7692}, {'id': 56184, 'slug': 'resident-evil-4', 'name': 'Resident Evil 4 (2005)', 'added': 7033}, {'id': 58755, 'slug': 'devil-may-cry-5', 'name': 'Devil May Cry 5', 'added': 6702}, {'id': 5159, 'slug': 'resident-evil-2', 'name': 'Resident Evil 2 (1998)', 'added': 6424}]"
109,Electronic Arts,electronic-arts,315,https://media.rawg.io/media/games/90f/90fd5e569bc4c4a666c588a732124908.jpg,"[{'id': 4570, 'slug': 'dead-space', 'name': 'Dead Space (2008)', 'added': 9527}, {'id': 5525, 'slug': 'brutal-legend', 'name': 'Brutal Legend', 'added': 8423}, {'id': 998, 'slug': 'battlefield-1', 'name': 'Battlefield 1', 'added': 7772}, {'id': 4550, 'slug': 'dead-space-2', 'name': 'Dead Space 2', 'added': 6781}, {'id': 3842, 'slug': 'battlefield-4', 'name': 'Battlefield 4', 'added': 6566}, {'id': 42187, 'slug': 'the-sims-4', 'name': 'The Sims 4', 'added': 6555}]"
17132,Aspyr Media,aspyr-media,71,https://media.rawg.io/media/games/046/0464f4a36cd975a37c95b93b06058855.jpg,"[{'id': 4062, 'slug': 'bioshock-infinite', 'name': 'BioShock Infinite', 'added': 16100}, {'id': 802, 'slug': 'borderlands-2', 'name': 'Borderlands 2', 'added': 16005}, {'id': 13633, 'slug': 'civilization-v', 'name': ""Sid Meier's Civilization V"", 'added': 9771}, {'id': 3543, 'slug': 'borderlands-the-pre-sequel', 'name': 'Borderlands: The Pre-Sequel', 'added': 9315}, {'id': 10297, 'slug': 'civilization-vi', 'name': 'Sid Meier’s Civilization VI', 'added': 7468}, {'id': 15859, 'slug': 'star-wars-knights-of-the-old-republic-2', 'name': 'Star Wars: Knights of the Old Republic', 'added': 7001}]"
6,Sony Interactive Entertainment,sony-interactive-entertainment,527,https://media.rawg.io/media/games/596/596215939911a0d97facfc224b1bca30.jpg,"[{'id': 5193, 'slug': 'oddworld-abes-oddysee', 'name': ""Oddworld: Abe's Oddysee"", 'added': 5762}, {'id': 4491, 'slug': 'shadow-of-the-colossus', 'name': 'Shadow of the Colossus (2011)', 'added': 4587}, {'id': 57908, 'slug': 'tomb-raider-ii', 'name': 'Tomb Raider II', 'added': 3281}, {'id': 15851, 'slug': 'star-wars-dark-forces-2', 'name': 'Star Wars: Dark Forces', 'added': 3102}, {'id': 5403, 'slug': 'flower', 'name': 'Flower', 'added': 2753}, {'id': 12280, 'slug': 'tomb-raider-the-last-revelation', 'name': 'Tomb Raider IV: The Last Revelation', 'added': 2461}]"
425,SEGA,sega,582,https://media.rawg.io/media/games/31b/31b1a1a45ad7103e52eed8ef658209a2.jpg,"[{'id': 28179, 'slug': 'sega-mega-drive-and-genesis-classics', 'name': 'SEGA Mega Drive and Genesis Classics', 'added': 8401}, {'id': 3556, 'slug': 'alien-isolation', 'name': 'Alien: Isolation', 'added': 8183}, {'id': 492, 'slug': 'yakuza-0', 'name': 'Yakuza 0', 'added': 6668}, {'id': 53341, 'slug': 'jet-set-radio-2012', 'name': 'Jet Set Radio', 'added': 5309}, {'id': 23587, 'slug': 'sonic-mania', 'name': 'Sonic Mania', 'added': 5052}, {'id': 3965, 'slug': 'binary-domain', 'name': 'Binary Domain', 'added': 4671}]"
4,Bethesda Softworks,bethesda-softworks,63,https://media.rawg.io/media/games/596/596a48ef3b62b63b4cc59633e28be903.jpg,"[{'id': 2454, 'slug': 'doom', 'name': 'DOOM (2016)', 'added': 14018}, {'id': 3696, 'slug': 'wolfenstein-the-new-order', 'name': 'Wolfenstein: The New Order', 'added': 10459}, {'id': 864, 'slug': 'dishonored-2', 'name': 'Dishonored 2', 'added': 10020}, {'id': 4248, 'slug': 'dishonored', 'name': 'Dishonored', 'added': 9982}, {'id': 58777, 'slug': 'doom-eternal', 'name': 'DOOM Eternal', 'added': 7985}, {'id': 28202, 'slug': 'wolfenstein-2-the-new-colossus', 'name': 'Wolfenstein II: The New Colossus', 'added': 7296}]"
694,Telltale Games,telltale-games,131,https://media.rawg.io/media/games/674/674b67b66f510f5b273f50ca09341ee2.jpg,"[{'id': 23027, 'slug': 'the-walking-dead', 'name': 'The Walking Dead: Season 1', 'added': 11676}, {'id': 1682, 'slug': 'the-wolf-among-us', 'name': 'The Wolf Among Us', 'added': 7815}, {'id': 15834, 'slug': 'the-walking-dead-season-2', 'name': 'The Walking Dead: Season 2', 'added': 6284}, {'id': 2166, 'slug': 'game-of-thrones-a-telltale-games-series', 'name': 'Game of Thrones - A Telltale Games Series', 'added': 5287}, {'id': 2100, 'slug': 'tales-from-the-borderlands', 'name': 'Tales from the Borderlands: A Telltale Game Series', 'added': 5148}, {'id': 2255, 'slug': '7-days-to-die', 'name': '7 Days to Die', 'added': 4314}]"
383,2K,2k,60,https://media.rawg.io/media/games/49c/49c3dfa4ce2f6f140cc4825868e858cb.jpg,"[{'id': 802, 'slug': 'borderlands-2', 'name': 'Borderlands 2', 'added': 16005}, {'id': 4427, 'slug': 'bioshock-2', 'name': 'BioShock 2', 'added': 11553}, {'id': 4828, 'slug': 'borderlands', 'name': 'Borderlands', 'added': 10138}, {'id': 3543, 'slug': 'borderlands-the-pre-sequel', 'name': 'Borderlands: The Pre-Sequel', 'added': 9315}, {'id': 13910, 'slug': 'xcom-enemy-unknown', 'name': 'XCOM: Enemy Unknown', 'added': 8520}, {'id': 4223, 'slug': 'the-darkness-ii', 'name': 'The Darkness II', 'added': 8140}]"
3,Warner Bros. Interactive,warner-bros-interactive,79,https://media.rawg.io/media/screenshots/1c9/1c9c69f0edb8c4f45e3fa6958fb8d40a.jpg,"[{'id': 108, 'slug': 'mortal-kombat-x', 'name': 'Mortal Kombat X', 'added': 9032}, {'id': 613, 'slug': 'bastion', 'name': 'Bastion', 'added': 8751}, {'id': 25, 'slug': 'middle-earth-shadow-of-war', 'name': 'Middle-earth: Shadow of War', 'added': 8756}, {'id': 2235, 'slug': 'batman-arkham-origins', 'name': 'Batman: Arkham Origins', 'added': 8059}, {'id': 2597, 'slug': 'lego-lord-of-the-rings', 'name': 'LEGO The Lord of the Rings', 'added': 5990}, {'id': 3729, 'slug': 'lego-the-hobbit', 'name': 'LEGO The Hobbit', 'added': 5486}]"
386,BANDAI NAMCO Entertainment America,bandai-namco-entertainment-america-inc,138,https://media.rawg.io/media/screenshots/104/104603a5c863d6fa6be4d4bb1fed6db6.jpeg,"[{'id': 41, 'slug': 'little-nightmares', 'name': 'Little Nightmares', 'added': 11663}, {'id': 2551, 'slug': 'dark-souls-iii', 'name': 'Dark Souls III', 'added': 11217}, {'id': 3371, 'slug': 'dark-souls-ii-scholar-of-the-first-sin', 'name': 'Dark Souls II: Scholar of the First Sin', 'added': 6205}, {'id': 36, 'slug': 'tekken-7', 'name': 'TEKKEN 7', 'added': 4198}, {'id': 5538, 'slug': 'dark-souls', 'name': 'Dark Souls', 'added': 3335}, {'id': 58637, 'slug': 'code-vein', 'name': 'Code Vein', 'added': 2991}]"
343,id Software,id-software,90,https://media.rawg.io/media/games/38a/38af969459ad6e5de116ec8a4a84218c.jpg,"[{'id': 2454, 'slug': 'doom', 'name': 'DOOM (2016)', 'added': 14018}, {'id': 58777, 'slug': 'doom-eternal', 'name': 'DOOM Eternal', 'added': 7985}, {'id': 28202, 'slug': 'wolfenstein-2-the-new-colossus', 'name': 'Wolfenstein II: The New Colossus', 'added': 7296}, {'id': 43877, 'slug': 'quake-champions', 'name': 'Quake Champions', 'added': 7180}, {'id': 5636, 'slug': 'rage', 'name': 'Rage', 'added': 4645}, {'id': 19458, 'slug': 'doom-3', 'name': 'Doom 3', 'added': 3958}]"
4015,Gearbox Software,gearbox-software,57,https://media.rawg.io/media/games/4e2/4e2270713ba0d59ea1dba61158ff842e.jpg,"[{'id': 802, 'slug': 'borderlands-2', 'name': 'Borderlands 2', 'added': 16005}, {'id': 18080, 'slug': 'half-life', 'name': 'Half-Life', 'added': 11519}, {'id': 4828, 'slug': 'borderlands', 'name': 'Borderlands', 'added': 10138}, {'id': 3543, 'slug': 'borderlands-the-pre-sequel', 'name': 'Borderlands: The Pre-Sequel', 'added': 9315}, {'id': 19542, 'slug': 'half-life-blue-shift', 'name': 'Half-Life: Blue Shift', 'added': 7033}, {'id': 21265, 'slug': 'half-life-opposing-force', 'name': 'Half-Life: Opposing Force', 'added': 7017}]"
436,Devolver Digital,devolver-digital,61,https://media.rawg.io/media/screenshots/2fc/2fc6994425146f9dba3133400b414e29.jpg,"[{'id': 3612, 'slug': 'hotline-miami', 'name': 'Hotline Miami', 'added': 10899}, {'id': 11435, 'slug': 'viscera-cleanup-detail-shadow-warrior', 'name': 'Viscera Cleanup Detail: Shadow Warrior', 'added': 7412}, {'id': 2733, 'slug': 'broforce', 'name': 'Broforce', 'added': 6387}, {'id': 3408, 'slug': 'hotline-miami-2-wrong-number', 'name': 'Hotline Miami 2: Wrong Number', 'added': 6447}, {'id': 3368, 'slug': 'titan-souls', 'name': 'Titan Souls', 'added': 5735}, {'id': 3697, 'slug': 'serious-sam-3-bfe', 'name': 'Serious Sam 3: BFE', 'added': 5336}]"
4207,Bethesda Game Studios,bethesda-game-studios,42,https://media.rawg.io/media/screenshots/a9d/a9d494c3789952790470cfbcf0f8e367.jpg,"[{'id': 5679, 'slug': 'the-elder-scrolls-v-skyrim', 'name': 'The Elder Scrolls V: Skyrim', 'added': 16834}, {'id': 3070, 'slug': 'fallout-4', 'name': 'Fallout 4', 'added': 14278}, {'id': 12447, 'slug': 'the-elder-scrolls-v-skyrim-special-edition', 'name': 'The Elder Scrolls V: Skyrim Special Edition', 'added': 10081}, {'id': 58777, 'slug': 'doom-eternal', 'name': 'DOOM Eternal', 'added': 7985}, {'id': 559, 'slug': 'fallout-shelter', 'name': 'Fallout Shelter', 'added': 7107}, {'id': 5562, 'slug': 'fallout-3', 'name': 'Fallout 3', 'added': 6698}]"
16257,Nintendo,nintendo,429,https://media.rawg.io/media/games/c23/c231ef56cdd277fad5fbcd2f6b7d2951.jpg,"[{'id': 22511, 'slug': 'the-legend-of-zelda-breath-of-the-wild', 'name': 'The Legend of Zelda: Breath of the Wild', 'added': 6344}, {'id': 28026, 'slug': 'super-mario-odyssey', 'name': 'Super Mario Odyssey', 'added': 3886}, {'id': 58829, 'slug': 'super-smash-bros-ultimate', 'name': 'Super Smash Bros. Ultimate', 'added': 2245}, {'id': 25097, 'slug': 'the-legend-of-zelda-ocarina-of-time', 'name': 'The Legend of Zelda: Ocarina of Time', 'added': 1882}, {'id': 421698, 'slug': 'animal-crossing-2019', 'name': 'Animal Crossing: New Horizons', 'added': 1862}, {'id': 23165, 'slug': 'mario-kart-8-deluxe', 'name': 'Mario Kart 8 Deluxe', 'added': 1860}]"
